Model unknown

  Variables:
    x : Size=38080, Index=x_index
        Key                                : Lower : Value : Upper : Fixed : Stale : Domain
                   ('45', 'Goe', 'BLO', 1) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'BLO', 2) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'BLO', 3) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'BLO', 4) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'BLO', 5) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'BLO', 6) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'BLO', 7) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'BLO', 8) :     0 :  None :     1 : False :  True : Boolean
                   ('45', 'Goe', 'BLO', 9) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 10) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 11) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 12) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 13) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 14) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 15) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 16) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 17) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 18) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 19) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 20) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 21) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 22) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 23) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 24) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 25) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 26) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 27) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 28) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 29) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 30) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 31) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 32) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 33) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 34) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 35) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 36) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 37) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 38) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 39) :     0 :  None :     1 : False :  True : Boolean
                  ('45', 'Goe', 'BLO', 40) :     0 :  None :     1 : False :  True : Boolean
               ('45', 'Goe', 'Deutsch', 1) :     0 :   0.0 :     1 : False : False : Boolean
               ('45', 'Goe', 'Deutsch', 2) :     0 :   0.0 :     1 : False : False : Boolean
               ('45', 'Goe', 'Deutsch', 3) :     0 :   0.0 :     1 : False : False : Boolean
               ('45', 'Goe', 'Deutsch', 4) :     0 :   0.0 :     1 : False : False : Boolean
               ('45', 'Goe', 'Deutsch', 5) :     0 :  -0.0 :     1 : False : False : Boolean
               ('45', 'Goe', 'Deutsch', 6) :     0 :  -0.0 :     1 : False : False : Boolean
               ('45', 'Goe', 'Deutsch', 7) :     0 :  None :     1 : False :  True : Boolean
               ('45', 'Goe', 'Deutsch', 8) :     0 :  None :     1 : False :  True : Boolean
               ('45', 'Goe', 'Deutsch', 9) :     0 :  None :     1 : False :  True : Boolean
              ('45', 'Goe', 'Deutsch', 10) :     0 :   0.0 :     1 : False : False : Boolean
              ('45', 'Goe', 'Deutsch', 11) :     0 :  -0.0 :     1 : False : False : Boolean
              ('45', 'Goe', 'Deutsch', 12) :     0 :   0.0 :     1 : False : False : Boolean
              ('45', 'Goe', 'Deutsch', 13) :     0 :  -0.0 :     1 : False : False : Boolean
              ('45', 'Goe', 'Deutsch', 14) :     0 :   0.0 :     1 : False : False : Boolean
              ('45', 'Goe', 'Deutsch', 15) :     0 :  -0.0 :     1 : False : False : Boolean
              ('45', 'Goe', 'Deutsch', 16) :     0 :  None :     1 : False :  True : Boolean
              ('45', 'Goe', 'Deutsch', 17) :     0 :  None :     1 : False :  True : Boolean
              ('45', 'Goe', 'Deutsch', 18) :     0 :  None :     1 : False :  True : Boolean
              ('45', 'Goe', 'Deutsch', 19) :     0 :  -0.0 :     1 : False : False : Boolean
              ('45', 'Goe', 'Deutsch', 20) :     0 :  -0.0 :     1 : False : False : Boolean
              ('45', 'Goe', 'Deutsch', 21) :     0 :  -0.0 :     1 : False : False : Boolean
              ('45', 'Goe', 'Deutsch', 22) :     0 :  -0.0 :     1 : False : False : Boolean
              ('45', 'Goe', 'Deutsch', 23) :     0 :   0.0 :     1 : False : False : Boolean
              ('45', 'Goe', 'Deutsch', 24) :     0 :   0.0 :     1 : False : False : Boolean
              ('45', 'Goe', 'Deutsch', 25) :     0 :  None :     1 : False :  True : Boolean
              ('45', 'Goe', 'Deutsch', 26) :     0 :  None :     1 : False :  True : Boolean
              ('45', 'Goe', 'Deutsch', 27) :     0 :  None :     1 : False :  True : Boolean
              ('45', 'Goe', 'Deutsch', 28) :     0 :   0.0 :     1 : False : False : Boolean
              ('45', 'Goe', 'Deutsch', 29) :     0 :  -0.0 :     1 : False : False : Boolean
